feature,importance_mean,importance_std
PaCO2__delta_6h,0.00028297692133705845,0.00018756504569212537
Calcium__min_12h,0.00027506234127506503,0.00020422759406174296
MAP__mean_24h,0.00026665027963006656,0.00020119030456292232
DBP__std_24h,0.000266444979893311,0.00034505763720336
PTT__min_12h,0.00026374121201745986,0.000265014526918493
HR__delta_1h,0.0002607734649299529,8.985341869787629e-05
HCO3__mean_12h,0.0002562684608893672,5.9409642367747244e-05
MAP__std_12h,0.00025398203467757346,0.00026945072269759596
Potassium__max_12h,0.0002447979413065339,4.239505903718446e-05
Temp__std_12h,0.0002346223515824488,0.001205661836024713
Platelets__max_6h,0.00023136107768369137,0.00011743557820368686
SaO2__mean_24h,0.00022982934123582242,7.237744484594075e-05
Resp__mean_24h,0.000229821323905584,0.00029367149124159364
MAP__mean_6h,0.0002212191045547627,0.00021713442918475052
Hgb__std_24h,0.00021324189209047856,0.0006451847705613179
Temp__min_6h,0.00021306341595192087,0.00027196596637150787
PTT__std_24h,0.00020168304245477036,0.0005827481835332403
Glucose__delta_6h,0.0001987397887241876,0.0004700476385029689
Alkalinephos__prev1,0.00019488722608435635,0.00018760679173352338
pH__std_12h,0.00018444221320205128,0.0001862938853827838
BUN__min_6h,0.00018302530418895478,5.342676714331085e-05
DBP__miss,0.00018240519145613845,0.0005937954512194673
HR__delta_6h,0.00017865019314777512,9.621248551660708e-05
Hgb__min_6h,0.00016907198385583745,1.6988543945355088e-05
Creatinine__std_12h,0.00016307400276061195,6.871540621830291e-05
HR__min_24h,0.00015999229459026383,0.00036397192373281706
Platelets__max_24h,0.00015766331094884748,0.00017622162181439328
PaCO2__max_6h,0.0001459426755448555,0.00010872723681825343
SBP__min_6h,0.00014141472069388123,0.00032849268888467136
BaseExcess__mean_24h,0.00012480398008514617,0.0002590980581503203
O2Sat__max_24h,0.00012341831333126415,0.0007701806234145338
Temp__std_24h,0.00011925547015708963,0.0002833816827151769
O2Sat__min_24h,0.00011834662574485724,5.01752862654706e-05
SBP__delta_6h,0.00011092260643750073,5.532297139847742e-05
DBP__min_12h,0.00011076422446565288,0.00014615764783815202
WBC__min_24h,0.00011063449648171902,0.00012912754109399493
Hgb__mean_6h,0.00010906841430004671,6.792006747213652e-05
Bilirubin_total__std_24h,0.0001080609577705241,9.30681760492436e-05
SBP__std_6h,0.00010416404362384073,0.00010402822825557576
PTT__max_24h,0.00010393146448791774,0.00018081441490671208
PaCO2__std_24h,0.00010199278121741313,3.3203748096479634e-05
SaO2__prev1,9.718357902421968e-05,0.0002955446485141106
Magnesium__min_24h,9.556425921273515e-05,0.0001333496858264245
WBC__min_6h,9.165379189867441e-05,4.872285565755594e-05
Hct__std_12h,9.16422994706196e-05,0.00010591613425983159
SaO2__min_12h,9.12135431880387e-05,3.776406681437011e-05
Calcium__min_6h,8.67206975213939e-05,3.8517382273653085e-05
Potassium__max_6h,8.512643727603852e-05,4.1691947448059126e-05
AST__mean_24h,8.229363348848245e-05,9.451371490659595e-05
Hct__mean_24h,7.517679172136749e-05,0.0002532715545179522
SaO2__max_24h,7.342223768832146e-05,6.640252362365403e-06
Fibrinogen__std_24h,6.242278039906992e-05,0.0001459644705570059
BaseExcess__std_12h,6.240892978718098e-05,4.8167813640872194e-05
HR__prev1,6.169134701416522e-05,8.488180020824068e-06
